species;length;weight
Coilia dussumieri;24.04;2.47
Coilia dussumieri;24.55;2.78
Coilia dussumieri;22.79;3.13
Coilia dussumieri;22.86;2.65
Coilia dussumieri;24.24;2.45
Coilia dussumieri;24.12;2.83
Coilia dussumieri;24.67;2.87
Coilia dussumieri;24.82;2.92
Coilia dussumieri;23.92;2.47
Coilia dussumieri;23.81;2.92
Coilia dussumieri;24.22;2.97
Coilia dussumieri;23.94;2.66
Coilia dussumieri;24.34;2.85
Coilia dussumieri;24.41;2.88
Coilia dussumieri;23.86;2.86
Coilia dussumieri;24.46;2.67
Coilia dussumieri;24.13;2.83
Coilia dussumieri;22.97;3.23
Coilia dussumieri;24.04;2.47
Coilia dussumieri;24.62;2.33
Coilia dussumieri;25.16;3.04
Coilia dussumieri;24.33;2.37
Coilia dussumieri;23.05;2.52
Coilia dussumieri;24.83;2.89
Coilia dussumieri;23.89;2.60
Coilia dussumieri;25.00;2.05
Coilia dussumieri;23.67;2.42
Coilia dussumieri;24.65;2.58
Coilia dussumieri;25.72;2.82
Coilia dussumieri;24.53;2.51
Coilia dussumieri;25.05;2.63
Coilia dussumieri;25.13;2.34
Coilia dussumieri;23.20;2.73
Coilia dussumieri;23.97;3.14
Coilia dussumieri;23.29;3.00
Coilia dussumieri;23.61;3.06
Coilia dussumieri;23.76;2.72
Coilia dussumieri;24.87;2.48
Coilia dussumieri;23.57;2.71
Coilia dussumieri;23.78;2.82
Coilia dussumieri;24.53;2.88
Coilia dussumieri;24.49;2.75
Coilia dussumieri;24.68;2.65
Coilia dussumieri;23.86;2.70
Coilia dussumieri;24.51;2.88
Coilia dussumieri;24.09;2.94
Coilia dussumieri;24.25;2.48
Coilia dussumieri;23.76;2.45
Coilia dussumieri;23.87;2.43
Coilia dussumieri;24.81;2.67
Coilia dussumieri;23.53;2.61
Coilia dussumieri;24.58;3.05
Coilia dussumieri;24.54;2.88
Coilia dussumieri;24.20;2.57
Coilia dussumieri;24.33;2.98
Coilia dussumieri;24.56;2.33
Coilia dussumieri;25.02;2.74
Coilia dussumieri;23.64;3.15
Coilia dussumieri;23.38;2.59
Coilia dussumieri;24.83;2.61
Coilia dussumieri;24.37;3.10
Coilia dussumieri;24.45;2.88
Coilia dussumieri;24.05;2.82
Coilia dussumieri;23.69;2.46
Coilia dussumieri;25.10;2.77
Coilia dussumieri;24.73;2.60
Coilia dussumieri;24.54;2.63
Coilia dussumieri;24.01;3.05
Coilia dussumieri;24.27;2.33
Coilia dussumieri;22.92;2.33
Coilia dussumieri;23.72;2.62
Coilia dussumieri;24.56;3.29
Coilia dussumieri;23.54;2.66
Coilia dussumieri;24.89;2.81
Coilia dussumieri;24.02;2.47
Coilia dussumieri;24.28;2.98
Coilia dussumieri;23.79;3.17
Coilia dussumieri;25.00;2.81
Coilia dussumieri;24.28;2.73
Coilia dussumieri;23.26;2.50
Coilia dussumieri;24.61;2.59
Coilia dussumieri;24.86;2.45
Coilia dussumieri;24.49;2.97
Coilia dussumieri;25.42;3.05
Coilia dussumieri;24.71;3.58
Coilia dussumieri;25.17;2.38
Coilia dussumieri;23.75;2.40
Coilia dussumieri;24.71;2.74
Otolithoides biauritus;20.07;3.18
Otolithoides biauritus;17.21;3.23
Otolithoides biauritus;16.82;3.08
Otolithoides biauritus;17.72;3.18
Otolithoides biauritus;21.43;3.30
Otolithoides biauritus;19.14;3.26
Otolithoides biauritus;17.48;3.17
Otolithoides biauritus;18.36;3.24
Otolithoides biauritus;20.00;3.21
Otolithoides biauritus;19.66;3.16
Otolithoides biauritus;18.05;3.20
Otolithoides biauritus;21.60;3.34
Otolithoides biauritus;17.05;3.23
Otolithoides biauritus;20.59;3.32
Otolithoides biauritus;17.46;3.15
Otolithoides biauritus;17.96;3.17
Otolithoides biauritus;17.74;3.18
Otolithoides biauritus;21.29;3.32
Otolithoides biauritus;18.79;3.26
Otolithoides biauritus;17.55;3.18
Otolithoides biauritus;17.94;3.14
Otolithoides biauritus;18.53;3.18
Otolithoides biauritus;18.22;3.22
Otolithoides biauritus;16.70;3.07
Otolithoides biauritus;18.50;3.15
Otolithoides biauritus;20.17;3.25
Otolithoides biauritus;20.47;3.30
Otolithoides biauritus;16.91;3.15
Otolithoides biauritus;18.50;3.18
Otolithoides biauritus;19.97;3.23
Otolithoides biauritus;19.18;3.20
Otolithoides biauritus;20.08;3.32
Otolithoides biauritus;18.05;3.20
Otolithoides biauritus;19.82;3.27
Otolithoides biauritus;17.83;3.10
Otolithoides biauritus;17.35;3.21
Otolithoides biauritus;15.94;3.12
Otolithoides biauritus;17.36;3.18
Otolithoides biauritus;18.32;3.32
Otolithoides biauritus;19.00;3.29
Otolithoides biauritus;17.21;3.16
Otolithoides biauritus;21.31;3.31
Otolithoides biauritus;18.46;3.14
Otolithoides biauritus;16.71;3.12
Otolithoides biauritus;19.50;3.22
Otolithoides biauritus;17.51;3.12
Otolithoides biauritus;17.31;3.18
Otolithoides biauritus;20.82;3.30
Otolithoides biauritus;20.32;3.29
Otolithoides biauritus;18.05;3.16
Otolithoides biauritus;19.74;3.19
Otolithoides biauritus;21.42;3.43
Otolithoides biauritus;17.23;3.13
Otolithoides biauritus;20.17;3.35
Otolithoides biauritus;19.05;3.15
Otolithoides biauritus;18.16;3.10
Otolithoides biauritus;18.03;3.20
Otolithoides biauritus;18.16;3.20
Otolithoides biauritus;18.21;3.21
Otolithoides biauritus;20.48;3.36
Otolithoides biauritus;16.31;3.14
Otolithoides biauritus;19.19;3.16
Otolithoides biauritus;19.91;3.15
Otolithoides biauritus;17.68;3.16
Otolithoides biauritus;16.53;3.18
Otolithoides biauritus;18.64;3.14
Otolithoides biauritus;19.56;3.32
Otolithoides biauritus;17.58;3.18
Otolithoides biauritus;17.84;3.21
Otolithoides biauritus;19.36;3.18
Otolithoides biauritus;17.86;3.26
Otolithoides biauritus;18.72;3.19
Otolithoides biauritus;19.00;3.18
Otolithoides biauritus;19.55;3.19
Otolithoides biauritus;19.06;3.26
Otolithoides biauritus;17.56;3.19
Otolithoides biauritus;18.00;3.25
Otolithoides biauritus;16.99;3.20
Otolithoides biauritus;16.90;3.14
Otolithoides biauritus;19.30;3.32
Otolithoides biauritus;20.22;3.22
Otolithoides biauritus;19.16;3.32
Otolithoides biauritus;18.62;3.20
Otolithoides biauritus;18.63;3.11
Otolithoides biauritus;18.53;3.30
Otolithoides biauritus;19.83;3.36
Otolithoides biauritus;18.25;3.23
Otolithoides biauritus;17.94;3.20
Otolithoides biauritus;17.37;3.17
Otolithoides biauritus;18.20;3.16
Otolithoides biauritus;18.02;3.22
Otolithoides biauritus;18.67;3.18
Otolithoides biauritus;17.44;3.07
Otolithoides biauritus;20.86;3.23
Otolithoides biauritus;18.16;3.27
Otolithoides biauritus;19.39;3.22
Otolithoides biauritus;18.89;3.23
Otolithoides biauritus;20.80;3.24
Otolithoides biauritus;16.52;3.17
Otolithoides biauritus;18.11;3.14
Otolithoides biauritus;17.38;3.13
Otolithoides biauritus;17.98;3.17
Otolithoides biauritus;19.39;3.24
Otolithoides biauritus;16.25;3.17
Otolithoides biauritus;18.39;3.25
Otolithoides biauritus;16.98;3.11
Otolithoides biauritus;17.82;3.02
Otolithoides biauritus;17.95;3.22
Otolithoides biauritus;18.71;3.13
Otolithoides biauritus;18.35;3.16
Otolithoides biauritus;19.04;3.20
Otolithoides biauritus;17.02;3.21
Otolithoides biauritus;16.65;3.06
Otolithoides biauritus;17.78;3.18
Otolithoides biauritus;21.24;3.31
Otolithoides biauritus;18.34;3.11
Otolithoides biauritus;19.08;3.30
Otolithoides biauritus;21.08;3.24
Otolithoides biauritus;19.28;3.26
Otolithoides biauritus;18.20;3.24
Otolithoides biauritus;20.21;3.29
Otolithoides biauritus;18.48;3.19
Otolithoides biauritus;20.13;3.24
Otolithoides biauritus;17.60;3.22
Otolithoides biauritus;17.86;3.18
Otolithoides biauritus;16.82;3.06
Otolithoides biauritus;16.42;3.09
Otolithoides biauritus;17.87;3.21
Otolithoides biauritus;18.88;3.21
Otolithoides biauritus;18.98;3.28
Otolithoides biauritus;18.65;3.20
Otolithoides biauritus;20.07;3.24
Otolithoides biauritus;19.01;3.14
Otolithoides biauritus;21.36;3.34
Otolithoides biauritus;18.15;3.29
Otolithoides biauritus;18.69;3.30
Otolithoides biauritus;18.27;3.15
Otolithoides biauritus;16.96;3.06
Otolithoides biauritus;16.31;3.08
Otolithoides biauritus;18.22;3.16
Otolithoides biauritus;20.22;3.16
Otolithoides biauritus;17.42;3.08
Otolithoides biauritus;19.11;3.27
Otolithoides biauritus;18.66;3.06
Otolithoides biauritus;19.30;3.30
Otolithoides biauritus;16.39;3.17
Otolithoides biauritus;19.55;3.20
Otolithoides biauritus;19.47;3.23
Otolithoides biauritus;17.41;3.11
Otolithoides biauritus;18.59;3.22
Otolithoides biauritus;17.89;3.19
Otolithoides biauritus;19.68;3.17
Otolithoides biauritus;19.43;3.26
Otolithoides biauritus;19.26;3.14
Otolithoides biauritus;19.72;3.31
Otolithoides biauritus;18.70;3.15
Otolithoides biauritus;17.38;3.17
Otolithoides biauritus;17.39;3.11
Otolithoides biauritus;18.17;3.12
Otolithoides biauritus;19.14;3.32
Otolithoides biauritus;16.77;3.15
Otolithoides biauritus;19.17;3.26
Otolithoides biauritus;18.17;3.20
Otolithoides biauritus;17.78;3.19
Otolithoides biauritus;17.39;3.21
Otolithoides biauritus;20.39;3.41
Otolithoides biauritus;17.65;3.16
Otolithoides biauritus;16.92;3.17
Otolithoides biauritus;18.08;3.11
Otolithoides biauritus;20.27;3.36
Otolithoides biauritus;17.00;3.12
Otolithoides biauritus;18.02;3.20
Otolithoides biauritus;20.38;3.25
Otolithoides biauritus;17.56;3.18
Otolithoides biauritus;17.89;3.16
Otolithoides biauritus;18.57;3.28
Otolithoides biauritus;17.26;3.16
Otolithoides biauritus;19.83;3.23
Otolithoides biauritus;21.24;3.16
Otolithoides biauritus;19.10;3.19
Otolithoides biauritus;17.31;3.12
Otolithoides biauritus;17.25;3.26
Otolithoides biauritus;19.42;3.18
Otolithoides biauritus;18.14;3.15
Otolithoides biauritus;20.93;3.33
Otolithoides biauritus;18.68;3.23
Otolithoides biauritus;18.96;3.31
Otolithoides biauritus;20.29;3.25
Otolithoides biauritus;18.30;3.18
Otolithoides biauritus;19.49;3.19
Otolithoides biauritus;18.42;3.16
Otolithoides biauritus;18.10;3.18
Otolithoides biauritus;17.84;3.17
Otolithoides biauritus;20.58;3.19
Otolithoides biauritus;19.03;3.20
Otolithoides biauritus;19.65;3.24
Otolithoides biauritus;17.67;3.12
Otolithoides biauritus;16.85;3.10
Otolithoides biauritus;18.73;3.21
Otolithoides biauritus;16.19;3.13
Otolithoides biauritus;17.69;3.18
Otolithoides biauritus;20.96;3.40
Otolithoides biauritus;18.20;3.15
Otolithoides biauritus;16.50;3.17
Otolithoides biauritus;17.13;3.21
Otolithoides biauritus;19.71;3.21
Otolithoides biauritus;18.09;3.26
Otolithoides biauritus;19.02;3.20
Otolithoides biauritus;20.83;3.19
Otolithoides biauritus;20.54;3.35
Otolithoides biauritus;17.62;3.18
Otolithoides biauritus;18.67;3.27
Otolithoides biauritus;18.05;3.21
Otolithoides biauritus;17.02;3.08
Otolithoides biauritus;16.54;3.09
Otolithoides biauritus;17.87;3.25
Otolithoides biauritus;17.93;3.15
Otolithoides biauritus;20.11;3.25
Otolithoides biauritus;17.87;3.11
Otolithoides biauritus;21.95;3.35
Otolithoides biauritus;16.99;3.07
Otolithoides biauritus;18.64;3.24
Otolithoides biauritus;16.96;3.14
Otolithoides biauritus;18.29;3.17
Otolithoides biauritus;16.64;3.11
Otolithoides biauritus;17.94;3.14
Otolithoides biauritus;20.08;3.21
Otolithoides biauritus;20.04;3.21
Otolithoides biauritus;17.15;3.17
Otolithoides biauritus;20.39;3.14
Otolithoides biauritus;18.58;3.23
Otolithoides biauritus;16.61;3.17
Otolithoides biauritus;20.00;3.12
Otolithoides biauritus;20.69;3.21
Otolithoides biauritus;19.02;3.33
Otolithoides biauritus;17.44;3.20
Otolithoides biauritus;18.32;3.24
Otolithoides biauritus;18.85;3.15
Otolithoides biauritus;17.58;3.18
Otolithoides biauritus;19.55;3.26
Otolithoides biauritus;19.94;3.19
Otolithoides biauritus;18.75;3.26
Otolithoides biauritus;16.73;3.14
Otolithoides biauritus;16.85;3.18
Otolithoides biauritus;17.98;3.21
Otolithoides biauritus;17.97;3.18
Otolithoides biauritus;20.82;3.37
Otolithoides biauritus;20.55;3.21
Otolithoides biauritus;20.43;3.31
Otolithoides biauritus;18.97;3.31
Otolithoides biauritus;20.20;3.24
Otolithoides biauritus;19.50;3.31
Otolithoides biauritus;18.11;3.23
Otolithoides biauritus;17.98;3.20
Otolithoides biauritus;17.48;3.14
Otolithoides biauritus;19.24;3.27
Otolithoides biauritus;19.08;3.19
Otolithoides biauritus;17.35;3.14
Otolithoides biauritus;17.03;3.21
Otolithoides biauritus;16.68;3.11
Otolithoides biauritus;17.78;3.20
Otolithoides biauritus;19.32;3.20
Otolithoides biauritus;19.99;3.18
Otolithoides biauritus;17.72;3.03
Otolithoides biauritus;17.33;3.19
Otolithoides biauritus;16.73;3.18
Otolithoides biauritus;17.74;3.16
Otolithoides biauritus;17.77;3.16
Otolithoides biauritus;18.46;3.16
Otolithoides biauritus;18.26;3.22
Otolithoides biauritus;16.65;3.08
Otolithoides biauritus;18.98;3.23
Otolithoides biauritus;18.39;3.18
Otolithoides biauritus;16.91;3.10
Otolithoides biauritus;21.79;3.27
Otolithoides biauritus;18.50;3.19
Otolithoides biauritus;17.80;3.09
Otolithoides biauritus;20.47;3.13
Otolithoides biauritus;18.91;3.20
Otolithoides biauritus;20.18;3.29
Otolithoides biauritus;18.23;3.24
Otolithoides biauritus;17.88;3.18
Otolithoides biauritus;16.72;3.04
Otolithoides biauritus;19.63;3.32
Otolithoides biauritus;17.39;3.10
Otolithoides biauritus;19.56;3.23
Otolithoides biauritus;17.32;3.16
Otolithoides biauritus;19.38;3.20
Otolithoides biauritus;19.88;3.31
Otolithoides biauritus;18.09;3.16
Otolithoides biauritus;17.68;3.13
Otolithoides biauritus;20.45;3.30
Otolithoides biauritus;18.25;3.15
Otolithoides biauritus;19.33;3.16
Otolithoides biauritus;19.52;3.26
Otolithoides biauritus;17.32;3.20
Otolithoides biauritus;19.08;3.21
Otolithoides biauritus;18.07;3.14
Otolithoides biauritus;17.63;3.16
Otolithoides biauritus;18.95;3.21
Otolithoides biauritus;18.40;3.20
Otolithoides biauritus;20.18;3.22
Otolithoides biauritus;19.63;3.22
Otolithoides biauritus;17.11;3.11
Otolithoides biauritus;17.50;3.13
Otolithoides biauritus;17.69;3.27
Otolithoides biauritus;18.16;3.16
Otolithoides biauritus;19.26;3.19
Otolithoides biauritus;18.83;3.16
Otolithoides biauritus;19.28;3.21
Otolithoides biauritus;21.33;3.16
Otolithoides biauritus;18.53;3.20
Otolithoides biauritus;16.45;3.13
Otolithoides biauritus;19.16;3.08
Otolithoides biauritus;18.19;3.19
Otolithoides biauritus;20.08;3.21
Otolithoides biauritus;18.40;3.18
Otolithoides biauritus;19.42;3.26
Otolithoides biauritus;20.10;3.33
Otolithoides biauritus;19.08;3.22
Otolithoides biauritus;17.13;3.23
Otolithoides biauritus;17.65;3.17
Otolithoides biauritus;18.22;3.07
Otolithoides biauritus;20.15;3.29
Otolithoides biauritus;20.94;3.35
Otolithoides biauritus;18.32;3.21
Otolithoides biauritus;17.57;3.26
Otolithoides biauritus;19.08;3.20
Otolithoides biauritus;17.26;3.15
Otolithoides biauritus;19.94;3.25
Otolithoides biauritus;17.48;3.15
Otolithoides biauritus;17.45;3.21
Otolithoides biauritus;17.47;3.15
Otolithoides biauritus;15.72;3.07
Otolithoides biauritus;18.07;3.23
Otolithoides biauritus;17.60;3.04
Otolithoides biauritus;20.14;3.17
Otolithoides biauritus;18.07;3.22
Otolithoides biauritus;19.80;3.26
Otolithoides biauritus;17.56;3.20
Otolithoides biauritus;19.79;3.23
Otolithoides biauritus;20.04;3.23
Otolithoides biauritus;16.69;3.19
Otolithoides biauritus;20.79;3.29
Otolithoides biauritus;17.93;3.19
Otolithoides biauritus;17.71;3.09
Otolithoides biauritus;18.59;3.28
Otolithoides biauritus;18.08;3.21
Otolithoides biauritus;18.66;3.21
Otolithoides biauritus;17.55;3.16
Otolithoides biauritus;18.64;3.24
Otolithoides biauritus;16.32;3.17
Otolithoides biauritus;20.06;3.31
Otolithoides biauritus;19.13;3.22
Otolithoides biauritus;18.94;3.22
Otolithoides biauritus;18.84;3.12
Otolithoides biauritus;19.06;3.31
Otolithoides biauritus;16.61;3.12
Otolithoides biauritus;20.48;3.25
Otolithoides biauritus;20.46;3.26
Otolithoides biauritus;17.97;3.19
Otolithoides biauritus;19.91;3.26
Otolithoides biauritus;17.84;3.16
Otolithoides biauritus;20.82;3.28
Otolithoides biauritus;17.84;3.14
Otolithoides biauritus;17.98;3.17
Otolithoides biauritus;18.51;3.19
Otolithoides biauritus;18.64;3.20
Otolithoides biauritus;18.24;3.16
Otolithoides biauritus;16.74;3.09
Otolithoides biauritus;18.46;3.13
Otolithoides biauritus;18.42;3.16
Otolithoides biauritus;18.07;3.27
Otolithoides biauritus;18.10;3.18
Otolithoides biauritus;16.67;3.21
Otolithoides biauritus;17.02;3.12
Otolithoides biauritus;16.77;3.09
Otolithoides biauritus;20.43;3.25
Otolithoides biauritus;18.19;3.12
Otolithoides biauritus;17.09;3.29
Otolithoides biauritus;19.54;3.19
Otolithoides biauritus;16.64;3.13
Otolithoides biauritus;19.14;3.12
Otolithoides biauritus;16.28;3.10
Otolithoides biauritus;19.89;3.16
Otolithoides biauritus;18.38;3.16
Otolithoides biauritus;17.99;3.07
Otolithoides biauritus;19.90;3.25
Otolithoides biauritus;18.14;3.25
Otolithoides biauritus;18.19;3.23
Otolithoides biauritus;17.70;3.21
Otolithoides biauritus;17.51;3.14
Otolithoides biauritus;21.02;3.35
Otolithoides biauritus;19.88;3.29
Otolithoides biauritus;18.89;3.17
Otolithoides biauritus;19.27;3.22
Otolithoides biauritus;17.40;3.10
Otolithoides biauritus;18.38;3.18
Otolithoides biauritus;17.32;3.24
Otolithoides biauritus;17.31;3.11
Otolithoides biauritus;17.09;3.14
Otolithoides biauritus;17.12;3.16
Otolithoides biauritus;18.28;3.22
Otolithoides biauritus;20.89;3.36
Otolithoides biauritus;18.16;3.12
Otolithoides biauritus;16.81;3.13
Otolithoides biauritus;17.93;3.19
Otolithoides biauritus;19.33;3.17
Otolithoides biauritus;17.74;3.24
Otolithoides biauritus;19.27;3.17
Otolithoides biauritus;19.75;3.21
Otolithoides biauritus;18.43;3.16
Otolithoides biauritus;17.54;3.19
Otolithoides biauritus;18.43;3.19
Otolithoides biauritus;16.57;3.11
Otolithoides biauritus;17.23;3.09
Otolithoides biauritus;17.77;3.09
Otolithoides biauritus;19.72;3.21
Otolithoides biauritus;19.41;3.24
Otolithoides biauritus;16.55;3.16
Otolithoides biauritus;19.54;3.24
Otolithoides biauritus;20.13;3.38
Otolithoides biauritus;17.27;3.17
Otolithoides biauritus;19.12;3.17
Otolithoides biauritus;19.08;3.22
Otolithoides biauritus;20.39;3.37
Otolithoides biauritus;18.24;3.13
Otolithoides biauritus;18.18;3.13
Otolithoides biauritus;20.54;3.28
Otolithoides biauritus;17.00;3.13
Otolithoides biauritus;19.57;3.22
Otolithoides biauritus;17.11;3.21
Otolithoides biauritus;19.27;3.24
Otolithoides biauritus;18.87;3.32
Otolithoides biauritus;17.54;3.14
Otolithoides biauritus;17.15;3.14
Otolithoides biauritus;18.59;3.15
Otolithoides biauritus;17.65;3.17
Otolithoides biauritus;18.14;3.08
Otolithoides biauritus;20.32;3.28
Otolithoides biauritus;16.99;3.07
Otolithoides biauritus;17.11;3.20
Otolithoides biauritus;18.52;3.20
Otolithoides biauritus;19.44;3.24
Otolithoides biauritus;19.27;3.18
Otolithoides biauritus;17.97;3.24
Otolithoides biauritus;19.12;3.17
Otolithoides biauritus;18.31;3.20
Otolithoides biauritus;19.58;3.31
Otolithoides biauritus;18.46;3.24
Otolithoides biauritus;21.71;3.22
Otolithoides biauritus;18.70;3.14
Otolithoides biauritus;18.12;3.22
Otolithoides biauritus;17.04;3.12
Otolithoides biauritus;17.72;3.12
Otolithoides biauritus;18.27;3.22
Otolithoides biauritus;17.91;3.07
Otolithoides biauritus;19.62;3.41
Otolithoides biauritus;20.96;3.27
Otolithoides biauritus;21.31;3.19
Otolithoides biauritus;18.05;3.17
Otolithoides biauritus;20.32;3.26
Otolithoides biauritus;16.48;3.21
Otolithoides biauritus;18.09;3.13
Otolithoides biauritus;21.06;3.31
Otolithoides biauritus;19.96;3.24
Otolithoides biauritus;17.39;3.14
Otolithoides biauritus;21.35;3.20
Otolithoides pama;22.82;3.84
Otolithoides pama;21.98;3.94
Otolithoides pama;21.55;3.96
Otolithoides pama;19.22;3.72
Otolithoides pama;19.91;3.97
Otolithoides pama;23.21;3.88
Otolithoides pama;19.77;3.75
Otolithoides pama;21.56;3.93
Otolithoides pama;21.80;3.80
Otolithoides pama;21.57;3.88
Otolithoides pama;21.08;4.07
Otolithoides pama;22.80;3.85
Otolithoides pama;22.61;3.84
Otolithoides pama;21.82;3.90
Otolithoides pama;22.34;3.81
Otolithoides pama;22.63;3.97
Otolithoides pama;21.63;4.07
Otolithoides pama;22.81;3.63
Otolithoides pama;21.53;3.77
Otolithoides pama;23.12;3.83
Otolithoides pama;23.50;3.84
Otolithoides pama;20.54;3.91
Otolithoides pama;21.31;3.78
Otolithoides pama;22.63;3.82
Otolithoides pama;22.62;4.20
Otolithoides pama;21.09;3.72
Otolithoides pama;19.32;3.93
Otolithoides pama;20.36;3.63
Otolithoides pama;19.26;3.77
Otolithoides pama;23.31;3.91
Otolithoides pama;23.70;4.05
Otolithoides pama;20.42;3.78
Otolithoides pama;21.88;3.85
Otolithoides pama;21.29;3.95
Otolithoides pama;20.88;3.89
Otolithoides pama;18.64;3.97
Otolithoides pama;22.98;3.83
Otolithoides pama;23.32;3.92
Otolithoides pama;20.06;3.81
Otolithoides pama;23.42;3.83
Otolithoides pama;20.34;3.76
Otolithoides pama;20.44;3.96
Otolithoides pama;20.69;3.69
Otolithoides pama;20.98;3.69
Otolithoides pama;19.50;3.68
Otolithoides pama;23.90;4.24
Otolithoides pama;22.21;3.77
Otolithoides pama;24.02;3.75
Otolithoides pama;23.31;4.10
Otolithoides pama;21.40;3.79
Otolithoides pama;20.38;3.69
Otolithoides pama;20.77;3.73
Otolithoides pama;22.01;3.90
Otolithoides pama;20.14;3.77
Otolithoides pama;23.01;3.65
Otolithoides pama;21.71;3.75
Otolithoides pama;21.86;3.88
Otolithoides pama;23.15;4.05
Otolithoides pama;20.81;3.81
Otolithoides pama;23.59;3.75
Otolithoides pama;23.01;4.02
Otolithoides pama;20.98;3.85
Otolithoides pama;22.14;4.09
Otolithoides pama;23.64;4.11
Otolithoides pama;20.92;3.84
Otolithoides pama;21.48;3.77
Otolithoides pama;24.19;4.03
Otolithoides pama;20.65;3.57
Otolithoides pama;22.23;3.86
Otolithoides pama;22.13;3.90
Otolithoides pama;22.15;3.68
Otolithoides pama;23.27;3.68
Otolithoides pama;20.68;3.78
Otolithoides pama;22.91;3.89
Otolithoides pama;20.66;4.06
Otolithoides pama;22.62;4.02
Otolithoides pama;19.60;3.88
Otolithoides pama;20.85;3.80
Otolithoides pama;20.22;3.80
Otolithoides pama;19.33;3.87
Otolithoides pama;23.45;3.71
Otolithoides pama;21.84;3.84
Otolithoides pama;22.51;3.98
Otolithoides pama;23.53;4.02
Otolithoides pama;20.91;3.89
Otolithoides pama;22.91;3.67
Otolithoides pama;22.58;3.84
Otolithoides pama;23.12;3.80
Otolithoides pama;22.76;4.10
Otolithoides pama;22.91;3.85
Otolithoides pama;20.21;3.64
Otolithoides pama;22.62;3.51
Otolithoides pama;23.23;3.90
Otolithoides pama;22.68;3.92
Otolithoides pama;22.63;3.95
Otolithoides pama;22.03;3.87
Otolithoides pama;19.64;3.90
Otolithoides pama;23.20;3.75
Otolithoides pama;19.97;3.82
Otolithoides pama;22.56;3.94
Otolithoides pama;22.32;3.87
Otolithoides pama;18.64;3.53
Otolithoides pama;20.27;3.86
Otolithoides pama;20.48;3.93
Otolithoides pama;19.89;3.86
Otolithoides pama;19.79;3.82
Otolithoides pama;19.77;3.61
Otolithoides pama;22.55;3.97
Otolithoides pama;21.44;3.54
Otolithoides pama;22.11;3.77
Otolithoides pama;20.57;3.92
Otolithoides pama;19.43;3.58
Otolithoides pama;22.77;3.77
Otolithoides pama;22.09;3.81
Otolithoides pama;20.25;3.82
Otolithoides pama;22.45;4.03
Otolithoides pama;22.16;3.91
Otolithoides pama;24.04;3.76
Otolithoides pama;20.91;3.86
Otolithoides pama;20.06;3.73
Otolithoides pama;23.53;3.83
Otolithoides pama;21.33;3.89
Otolithoides pama;20.55;3.80
Otolithoides pama;20.15;3.85
Otolithoides pama;21.73;3.83
Otolithoides pama;22.60;3.87
Otolithoides pama;22.40;3.88
Otolithoides pama;23.55;3.75
Otolithoides pama;21.91;3.80
Otolithoides pama;21.65;3.68
Otolithoides pama;22.85;3.93
Otolithoides pama;22.73;3.85
Otolithoides pama;22.76;3.66
Otolithoides pama;22.02;3.85
Otolithoides pama;23.56;3.89
Otolithoides pama;19.58;3.87
Otolithoides pama;23.25;4.08
Otolithoides pama;22.91;3.97
Otolithoides pama;21.48;4.02
Otolithoides pama;22.52;3.90
Otolithoides pama;22.49;3.81
Otolithoides pama;23.07;3.93
Otolithoides pama;23.44;3.88
Otolithoides pama;22.01;3.92
Otolithoides pama;23.89;3.83
Otolithoides pama;22.15;3.94
Otolithoides pama;22.43;3.76
Otolithoides pama;21.98;3.84
Otolithoides pama;19.65;3.93
Otolithoides pama;22.45;3.75
Otolithoides pama;20.46;3.90
Otolithoides pama;20.69;3.76
Otolithoides pama;21.08;3.89
Otolithoides pama;22.35;3.70
Otolithoides pama;21.10;3.88
Otolithoides pama;18.94;3.87
Otolithoides pama;22.52;3.94
Otolithoides pama;23.53;3.79
Otolithoides pama;23.04;3.95
Otolithoides pama;19.78;3.70
Otolithoides pama;20.27;3.87
Otolithoides pama;22.88;3.93
Otolithoides pama;22.47;3.97
Otolithoides pama;22.94;4.04
Otolithoides pama;22.60;3.79
Otolithoides pama;21.39;3.79
Otolithoides pama;19.62;3.74
Otolithoides pama;20.65;3.91
Otolithoides pama;23.07;3.87
Otolithoides pama;23.79;3.90
Otolithoides pama;20.45;3.75
Otolithoides pama;21.47;3.82
Otolithoides pama;21.34;3.77
Otolithoides pama;21.23;3.65
Otolithoides pama;23.44;3.97
Otolithoides pama;22.19;3.94
Otolithoides pama;19.90;3.79
Otolithoides pama;23.52;3.91
Otolithoides pama;19.54;3.85
Otolithoides pama;22.48;3.71
Otolithoides pama;20.81;4.03
Otolithoides pama;21.52;3.78
Otolithoides pama;20.65;3.66
Otolithoides pama;20.49;3.79
Otolithoides pama;21.15;4.11
Otolithoides pama;20.27;3.68
Otolithoides pama;21.74;4.08
Otolithoides pama;23.09;3.75
Otolithoides pama;22.93;3.90
Otolithoides pama;23.08;3.88
Otolithoides pama;21.74;3.79
Otolithoides pama;21.40;3.76
Otolithoides pama;20.28;3.76
Otolithoides pama;22.22;3.75
Otolithoides pama;20.09;3.93
Otolithoides pama;22.12;3.86
Otolithoides pama;23.60;3.64
Otolithoides pama;22.77;3.97
Otolithoides pama;18.66;3.78
Otolithoides pama;21.71;3.98
Otolithoides pama;23.22;3.72
Otolithoides pama;20.61;3.77
Otolithoides pama;22.77;4.03
Otolithoides pama;22.49;3.89
Otolithoides pama;22.82;3.94
Otolithoides pama;22.53;3.76
